Province_State,UID,code3,FIPS,Lat,Long_,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20
Alabama,5796241491.0,57960.0,241491.0,2203.24678369,-5809.578199250002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,11.0,29.0,39.0,51.0,78.0,106.0,131.0,157.0,196.0,242.0,381.0,517.0,587.0,694.0,825.0,899.0,987.0,1060.0,1233.0,1495.0,1614.0,1765.0,1952.0,2169.0,2328.0,2703.0,2947.0,3217.0,3563.0,3734.0,3953.0,4075.0,4345.0,4571.0,4712.0,4888.0,5079.0,5317.0,5593.0,5832.0,6026.0,6026.0,6421.0,6539.0,6750.0,6912.0,7088.0,7294.0,7611.0,7888.0,8112.0,8437.0,8691.0,9046.0,9385.0,9668.0,9889.0,10164.0,10464.0,10700.0,11101.0,11373.0,11674.0,11771.0,12086.0,12376.0,13052.0,13288.0,13670.0,14117.0,14478.0,14986.0,15650.0,16032.0,16530.0,17031.0,17359.0,17952.0,18630.0,18766.0,18851.0,19072.0,19387.0,20043.0,20500.0,20925.0,21422.0,21989.0,22845.0,23710.0,24601.0,25615.0,26272.0,26912.0,27312.0,28206.0
Alaska,2604232344.0,26040.0,232344.0,1747.5798765500003,-4229.3193343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,5.0,8.0,11.0,13.0,18.0,30.0,34.0,41.0,56.0,58.0,85.0,102.0,114.0,119.0,132.0,143.0,157.0,171.0,185.0,190.0,213.0,226.0,235.0,246.0,257.0,272.0,277.0,285.0,293.0,300.0,309.0,314.0,319.0,321.0,329.0,335.0,337.0,339.0,339.0,340.0,345.0,351.0,355.0,355.0,364.0,365.0,368.0,370.0,371.0,372.0,374.0,377.0,378.0,379.0,379.0,383.0,383.0,383.0,388.0,388.0,388.0,388.0,400.0,401.0,401.0,403.0,407.0,407.0,408.0,410.0,411.0,424.0,429.0,433.0,459.0,466.0,486.0,504.0,512.0,523.0,535.0,543.0,562.0,572.0,592.0,609.0,624.0,653.0,660.0,663.0,675.0,695.0,707.0
American Samoa,16.0,16.0,60.0,-14.271,-170.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arizona,1428230216.0,14280.0,230216.0,505.13855463,-1671.9484819,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,6.0,9.0,9.0,9.0,12.0,12.0,18.0,20.0,27.0,45.0,68.0,104.0,152.0,235.0,326.0,401.0,508.0,665.0,773.0,919.0,1157.0,1289.0,1413.0,1596.0,1769.0,2019.0,2269.0,2460.0,2575.0,2726.0,3018.0,3112.0,3393.0,3542.0,3705.0,3809.0,3964.0,4237.0,4511.0,4724.0,4933.0,5068.0,5256.0,5473.0,5772.0,6045.0,6286.0,6534.0,6725.0,6955.0,7209.0,7655.0,7969.0,8364.0,8640.0,8924.0,9305.0,9707.0,9945.0,10526.0,10960.0,11119.0,11383.0,11736.0,12216.0,12674.0,13169.0,13666.0,13945.0,14208.0,14576.0,14906.0,15348.0,15624.0,16053.0,16377.0,16575.0,16864.0,17318.0,17877.0,18472.0,19258.0,19936.0,20129.0,21264.0,22356.0,22886.0,24439.0,25451.0,26989.0,27678.0,28296.0,29852.0,31267.0,33039.0,34660.0,35706.0,36844.0,39185.0,40937.0,43445.0
Arkansas,6468550635.0,64680.0,550635.0,2618.39170427,-6932.548370129999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,3.0,3.0,3.0,4.0,62.0,100.0,122.0,165.0,192.0,219.0,280.0,335.0,381.0,409.0,426.0,473.0,523.0,584.0,643.0,704.0,743.0,837.0,875.0,946.0,1000.0,1119.0,1171.0,1228.0,1280.0,1410.0,1498.0,1569.0,1620.0,1695.0,1744.0,1781.0,1973.0,1990.0,2276.0,2599.0,2810.0,2911.0,3001.0,3069.0,3127.0,3193.0,3281.0,3337.0,3372.0,3437.0,3491.0,3525.0,3611.0,3703.0,3747.0,3747.0,4012.0,4043.0,4164.0,4236.0,4366.0,4463.0,4578.0,4759.0,4813.0,4923.0,5003.0,5458.0,5612.0,5775.0,5922.0,6029.0,6180.0,6277.0,6538.0,6777.0,7013.0,7253.0,7443.0,7818.0,8067.0,8425.0,8651.0,9101.0,9426.0,9740.0,10080.0,10368.0,10816.0,11547.0,12095.0,12501.0,12917.0,13191.0,13606.0,13928.0
California,5040521376.0,50400.0,521376.0,2194.94977547,-7002.258461499999,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,12.0,12.0,21.0,25.0,35.0,51.0,59.0,81.0,95.0,101.0,144.0,178.0,221.0,281.0,372.0,373.0,557.0,700.0,828.0,1005.0,1243.0,1405.0,1646.0,2108.0,2538.0,2998.0,3899.0,4657.0,5095.0,5852.0,7138.0,8210.0,9399.0,10773.0,12004.0,12837.0,15034.0,16019.0,17351.0,18897.0,19710.0,21081.0,21706.0,22795.0,23931.0,25356.0,26686.0,27677.0,29157.0,30491.0,31431.0,33686.0,35465.0,37344.0,39561.0,41355.0,42368.0,43558.0,44966.0,46164.0,48747.0,50130.0,52026.0,53347.0,54903.0,55884.0,58456.0,60616.0,62148.0,63779.0,66558.0,67600.0,69329.0,70978.0,72798.0,74871.0,76693.0,78725.0,80166.0,81457.0,83752.0,85997.0,88031.0,90252.0,92539.0,94020.0,96400.0,99387.0,101050.0,103813.0,106622.0,109895.0,111951.0,114733.0,117215.0,119348.0,122168.0,125738.0,128593.0,130615.0,133816.0,136641.0,139715.0,143377.0,146659.0,150018.0,152300.0,155726.0,158961.0,162798.0,167086.0
Colorado,5544685999.0,55440.0,685999.0,2491.870365929999,-6751.119357399998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,8.0,8.0,12.0,17.0,34.0,49.0,78.0,103.0,136.0,161.0,183.0,216.0,278.0,364.0,475.0,595.0,723.0,912.0,1087.0,1430.0,1738.0,2061.0,2308.0,2627.0,2966.0,3342.0,3728.0,4173.0,4565.0,4950.0,5183.0,5429.0,5655.0,6202.0,6513.0,6893.0,7307.0,7696.0,7950.0,8280.0,8675.0,9047.0,9440.0,9730.0,10112.0,10473.0,10891.0,11278.0,12256.0,12968.0,13441.0,13879.0,14316.0,14758.0,15284.0,15793.0,16225.0,16635.0,16918.0,17367.0,17832.0,18370.0,18827.0,19375.0,19703.0,19879.0,20157.0,20475.0,20838.0,21232.0,21633.0,21938.0,22202.0,22482.0,22797.0,23191.0,23487.0,23964.0,24174.0,24256.0,24552.0,24754.0,25107.0,25598.0,26084.0,26364.0,26563.0,26774.0,27046.0,27346.0,27601.0,27834.0,27987.0,28169.0,28333.0,28484.0,28632.0,28807.0,29002.0,29115.0,29284.0,29427.0,29656.0,29886.0
Connecticut,840242082.0,8400.0,242082.0,332.90944112,-581.25463743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,11.0,23.0,24.0,41.0,68.0,96.0,159.0,194.0,194.0,327.0,415.0,618.0,875.0,1012.0,1291.0,1524.0,1993.0,2571.0,3128.0,3557.0,3824.0,4914.0,5276.0,5675.0,6906.0,7781.0,7781.0,9784.0,10538.0,11510.0,12035.0,13381.0,13989.0,14755.0,15884.0,16809.0,17550.0,17962.0,19815.0,20360.0,22469.0,23100.0,23936.0,24583.0,25269.0,25997.0,26312.0,26767.0,27700.0,28764.0,29287.0,29287.0,29973.0,30621.0,30995.0,31784.0,32411.0,32984.0,33554.0,33765.0,34333.0,34855.0,35464.0,36085.0,36703.0,37419.0,38116.0,38430.0,39017.0,39208.0,39640.0,40022.0,40468.0,40873.0,41303.0,41288.0,41559.0,41762.0,42022.0,42201.0,42740.0,42979.0,43091.0,43239.0,43460.0,43818.0,43968.0,44092.0,44179.0,44347.0,44461.0,44689.0,44994.0,45088.0,45235.0,45349.0,45429.0,45440.0
Delaware,420200029.0,4200.0,200029.0,117.32783047000001,-226.59971236999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,6.0,6.0,8.0,16.0,19.0,30.0,39.0,45.0,56.0,68.0,104.0,119.0,130.0,163.0,214.0,232.0,264.0,319.0,368.0,393.0,450.0,593.0,673.0,783.0,928.0,1116.0,1209.0,1326.0,1479.0,1625.0,1758.0,1926.0,2014.0,2070.0,2317.0,2538.0,2538.0,2745.0,2931.0,3200.0,3308.0,3442.0,3576.0,4034.0,4162.0,4575.0,4655.0,4734.0,4918.0,5038.0,5208.0,5288.0,5371.0,5778.0,5939.0,6111.0,6277.0,6277.0,6565.0,6741.0,6952.0,7223.0,7373.0,7547.0,7670.0,7869.0,8037.0,8194.0,8386.0,8529.0,8529.0,8809.0,8965.0,9066.0,9096.0,9171.0,9236.0,9422.0,9498.0,9605.0,9685.0,9712.0,9746.0,9773.0,9845.0,9942.0,9972.0,10020.0,10056.0,10106.0,10173.0,10229.0,10264.0,10340.0,10403.0,10444.0,10499.0
Diamond Princess,84088888.0,840.0,88888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,47.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
