Province_State,UID,code3,FIPS,Lat,Long_,Population,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20
Alabama,5796241491.0,57960.0,241491.0,2203.24678369,-5809.578199250002,4903185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,10.0,10.0,23.0,27.0,32.0,38.0,44.0,45.0,49.0,64.0,66.0,70.0,80.0,92.0,93.0,99.0,114.0,118.0,133.0,148.0,153.0,157.0,163.0,183.0,196.0,202.0,209.0,209.0,219.0,228.0,242.0,256.0,272.0,289.0,288.0,290.0,298.0,315.0,343.0,369.0,383.0,390.0,393.0,403.0,435.0,450.0,473.0,483.0,485.0,488.0,489.0,504.0,522.0,529.0,541.0,549.0,551.0,566.0,580.0,583.0,591.0,610.0,618.0,630.0,646.0,653.0,653.0,653.0,676.0,689.0,692.0,718.0,729.0,744.0,755.0,769.0,773.0,773.0,774.0,785.0,790.0,810.0
Alaska,2604232344.0,26040.0,232344.0,1747.5798765500003,-4229.3193343,731545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
American Samoa,16.0,16.0,60.0,-14.271,-170.132,55641.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arizona,1428230216.0,14280.0,230216.0,505.13855463,-1671.9484819,7278717.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,5.0,6.0,8.0,13.0,15.0,17.0,20.0,25.0,32.0,35.0,44.0,52.0,64.0,65.0,73.0,89.0,98.0,106.0,117.0,125.0,132.0,143.0,155.0,164.0,183.0,180.0,184.0,191.0,208.0,231.0,249.0,266.0,273.0,275.0,275.0,275.0,308.0,320.0,330.0,330.0,362.0,362.0,395.0,426.0,450.0,517.0,532.0,536.0,542.0,562.0,595.0,624.0,651.0,679.0,680.0,687.0,705.0,747.0,764.0,775.0,801.0,801.0,807.0,810.0,834.0,860.0,886.0,904.0,907.0,918.0,943.0,983.0,999.0,1015.0,1043.0,1051.0,1053.0,1076.0,1101.0,1135.0,1156.0,1189.0,1191.0,1203.0,1228.0,1249.0,1283.0
Arkansas,6468550635.0,64680.0,550635.0,2618.39170427,-6932.548370129999,3017804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,5.0,6.0,7.0,8.0,10.0,12.0,12.0,14.0,16.0,16.0,18.0,18.0,21.0,21.0,25.0,27.0,29.0,32.0,33.0,37.0,37.0,38.0,39.0,41.0,42.0,42.0,45.0,47.0,48.0,51.0,51.0,57.0,57.0,61.0,64.0,72.0,76.0,80.0,83.0,87.0,87.0,88.0,88.0,91.0,94.0,95.0,97.0,98.0,98.0,98.0,98.0,100.0,102.0,107.0,110.0,113.0,115.0,116.0,117.0,119.0,120.0,125.0,132.0,133.0,133.0,133.0,136.0,142.0,151.0,152.0,154.0,154.0,155.0,161.0,165.0,171.0,176.0,177.0,179.0,182.0,188.0,197.0,208.0
California,5040521376.0,50400.0,521376.0,2194.94977547,-7002.258461499999,39512223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,3.0,5.0,7.0,12.0,16.0,18.0,24.0,25.0,30.0,39.0,50.0,65.0,81.0,94.0,110.0,124.0,146.0,173.0,199.0,238.0,265.0,289.0,348.0,380.0,432.0,495.0,544.0,583.0,604.0,640.0,714.0,767.0,860.0,956.0,1037.0,1140.0,1177.0,1225.0,1282.0,1421.0,1533.0,1621.0,1689.0,1725.0,1779.0,1864.0,1946.0,2031.0,2126.0,2180.0,2216.0,2278.0,2381.0,2464.0,2535.0,2613.0,2687.0,2716.0,2779.0,2879.0,2957.0,3052.0,3136.0,3208.0,3240.0,3279.0,3403.0,3497.0,3583.0,3665.0,3737.0,3753.0,3768.0,3818.0,3894.0,3993.0,4077.0,4144.0,4172.0,4217.0,4305.0,4374.0,4444.0,4529.0,4607.0,4632.0,4657.0,4745.0,4854.0,4934.0,4978.0,5076.0,5099.0,5114.0,5200.0,5271.0,5355.0
Colorado,5544685999.0,55440.0,685999.0,2491.870365929999,-6751.119357399998,5758736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,5.0,6.0,7.0,7.0,11.0,20.0,19.0,31.0,44.0,47.0,51.0,69.0,79.0,97.0,111.0,126.0,140.0,150.0,179.0,193.0,226.0,250.0,274.0,289.0,306.0,327.0,354.0,372.0,389.0,411.0,420.0,447.0,483.0,506.0,552.0,674.0,684.0,688.0,706.0,736.0,766.0,777.0,821.0,832.0,842.0,851.0,903.0,919.0,944.0,960.0,967.0,971.0,987.0,1010.0,1062.0,1086.0,1150.0,1192.0,1215.0,1224.0,1257.0,1299.0,1310.0,1324.0,1327.0,1332.0,1333.0,1352.0,1392.0,1421.0,1436.0,1443.0,1445.0,1458.0,1474.0,1494.0,1512.0,1524.0,1527.0,1527.0,1543.0,1553.0,1572.0,1582.0,1582.0,1597.0,1598.0,1605.0,1617.0,1631.0,1638.0
Connecticut,840242082.0,8400.0,242082.0,332.90944112,-581.25463743,3565287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,8.0,10.0,12.0,19.0,21.0,27.0,33.0,34.0,36.0,69.0,85.0,112.0,131.0,165.0,189.0,206.0,277.0,326.0,380.0,448.0,494.0,554.0,602.0,671.0,868.0,971.0,1036.0,1086.0,1127.0,1331.0,1423.0,1544.0,1639.0,1767.0,1865.0,1924.0,2012.0,2087.0,2169.0,2257.0,2339.0,2436.0,2436.0,2556.0,2633.0,2718.0,2797.0,2874.0,2932.0,2967.0,3008.0,3041.0,3125.0,3219.0,3285.0,3339.0,3408.0,3450.0,3472.0,3529.0,3583.0,3637.0,3675.0,3693.0,3742.0,3769.0,3803.0,3826.0,3868.0,3912.0,3944.0,3970.0,3972.0,3989.0,4007.0,4038.0,4055.0,4071.0,4084.0,4097.0,4120.0,4146.0,4159.0,4186.0,4201.0,4204.0,4210.0,4219.0,4226.0
Delaware,420200029.0,4200.0,200029.0,117.32783047000001,-226.59971236999996,973764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,6.0,6.0,10.0,11.0,12.0,14.0,14.0,14.0,15.0,16.0,19.0,23.0,32.0,33.0,35.0,41.0,43.0,46.0,55.0,61.0,67.0,67.0,72.0,82.0,89.0,92.0,100.0,112.0,120.0,125.0,137.0,144.0,152.0,159.0,168.0,177.0,182.0,187.0,193.0,202.0,213.0,221.0,221.0,225.0,237.0,247.0,260.0,271.0,286.0,290.0,297.0,304.0,310.0,317.0,322.0,322.0,326.0,332.0,335.0,344.0,345.0,356.0,361.0,366.0,368.0,373.0,375.0,386.0,388.0,390.0,398.0,398.0,410.0,413.0,414.0,414.0,419.0,422.0,423.0,424.0,426.0,431.0
Diamond Princess,84088888.0,840.0,88888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
